A	ABCDDECFGHFIJ
B	ABCDDCCFGHFIJ
C	ABCDDCCFKHLHIJ
D	ABCDDECFKGHFIJ
E	ABCDHFIJ
L1	ABCDGHFIJ
L2	ABCDDCFGHFIJ
L3	ABCDECFGHFIJ
L4	ABCDDCCCDDCFKHLHIJ
L5	ABCDDECFIJ
L6	ABCDDCCCFKHLOIJ
L7	ABCDDCCFGHFJ
L8	ABCDDECCFKHLHIJ
L9	ABCDDECFGPFQJ
L10	ACDDECFGHFIJ
L11	ABCDDECFGHIJ
L12	ABCDDCCCFGHFJ
L13	ABCDDECFGHQIJ
L14	ABCDDCCFKHLOIJ
L15	ABCDDCCFKHLHI
L16	ABCDRCFKHLHIJ
L17	ABCDDKCCFKHLHIJ
L18	ABDDSCFKHLOIJ
L19	ABCDDCCFKHLHQIJ
L20	ABCDDECFGKFQJ
L21	ABCDDEECFGHFIJ
L22	ABCDDECFGHHFIJ
L23	ABCDDECFFHFQJ
L24	ABCDDECFTPFQJ
