StandardName	InPopulation	StandardZnfContent	Alleva.2021	Baudat.2010	Berg.2010	Berg.2011	Beyter.2021	Borel.2012	Hussin.2013	Oliver.2009	Parvanov.2010	Ponting.2011	GenBank.2021
P001	TRUE	Z001_Z002_Z003_Z004_Z004_Z005_Z003_Z006_Z007_Z008_Z006_Z009_Z010	A	A	A	A	NA	A	NA	isolate.1	M1	A	NA
P002	TRUE	Z001_Z002_Z003_Z004_Z004_Z003_Z003_Z006_Z007_Z008_Z006_Z009_Z010	B	B	B	B	chr5:23526974:XN.5	B	NA	isolate.4	M2	B	AF275816.1
P003	TRUE	Z001_Z002_Z003_Z004_Z004_Z003_Z003_Z006_Z011_Z008_Z012_Z008_Z009_Z010	C	C	C	C	NA	C	NA	NA	NA	C	NA
P004	TRUE	Z001_Z002_Z003_Z004_Z004_Z005_Z003_Z006_Z011_Z007_Z008_Z006_Z009_Z010	D	D	D	D	NA	D	NA	NA	NA	D	NA
P005	TRUE	Z001_Z002_Z003_Z004_Z008_Z006_Z009_Z010	E	E	E	E	chr5:23526974:DN.1	E	NA	NA	NA	E	NA
P006	TRUE	Z001_Z002_Z003_Z004_Z004_Z005_Z003_Z003_Z006_Z013_Z010	baudat_F	F	NA	NA	NA	F	NA	NA	NA	NA	NA
P007	TRUE	Z001_Z002_Z003_Z004_Z014_Z003_Z006_Z007_Z007_Z008_Z006_Z009_Z010	baudat_H	H	NA	NA	NA	NA	NA	NA	NA	NA	NA
P008	TRUE	Z001_Z002_Z003_Z004_Z004_Z003_Z003_Z006_Z011_Z008_Z012_Z008_Z008_Z008_Z009_Z010	baudat_I	I	NA	NA	NA	NA	NA	NA	NA	NA	NA
P009	TRUE	Z001_Z002_Z003_Z004_Z004_Z005_Z013_Z013_Z008_Z008_Z006_Z007_Z008_Z006_Z009_Z010	NA	K	NA	NA	NA	NA	NA	NA	NA	NA	NA
P010	TRUE	Z001_Z002_Z003_Z004_Z007_Z008_Z006_Z009_Z010	L1	NA	L1	L1	chr5:23526974:DN.2	L1	NA	NA	NA	L1	NA
P011	TRUE	Z001_Z002_Z003_Z004_Z004_Z003_Z006_Z007_Z008_Z006_Z009_Z010	L2	NA	L2	L2	NA	NA	NA	NA	NA	L2	NA
